Rk,G,Date,Age,Tm,,Opp,,GS,MP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,GmSc,BPM
39,,2022-01-07,29-195,UTA,@,TOR,L (-14),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
40,,2022-01-08,29-196,UTA,@,IND,L (-12),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
41,,2022-01-10,29-198,UTA,@,DET,L (-10),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
42,,2022-01-12,29-200,UTA,,CLE,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
43,38,2022-01-16,29-204,UTA,@,DEN,W (+23),1,35:00,.893,1.000,22.9,34.3,29.0,8.0,0.0,5.3,22.9,17.0,152,102,22.2,6.7
44,39,2022-01-17,29-205,UTA,@,LAL,L (-6),1,36:57,.825,.750,6.0,39.5,23.4,0.0,1.3,8.0,20.7,17.4,130,94,19.9,6.4
45,40,2022-01-19,29-207,UTA,,HOU,L (-5),1,36:40,.715,.692,12.2,13.1,12.7,17.3,2.8,5.1,5.9,20.9,149,118,25.0,8.3
46,41,2022-01-21,29-209,UTA,,DET,W (+10),1,32:18,.758,.727,15.6,32.3,24.8,6.2,0.0,10.8,11.2,25.5,143,98,24.0,9.4
47,42,2022-01-23,29-211,UTA,@,GSW,L (-2),1,35:59,.551,.500,19.9,33.3,26.4,16.4,1.6,0.0,8.4,15.8,135,109,17.3,5.7
48,,2022-01-24,29-212,UTA,@,PHO,L (-6),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
